Question,RightAnswer,Answer_1,Answer_2,Answer_3,Explain,Meaning
（　　　）、えいがをみにいきませんか？,あした,ゆうべ,きのう,おととい,"あしたえいがをみにいきませんか？" : Would you like to go see the movie tomorrow?, "えいがをみにいきませんか？" : Would you like to go see a movie? | "あした" : tomorrow | "きのう" : yesterday | "おととい" : Day before yesterday

わたしはいつも（　　　）をききながらべんきょうします。,ラジオ,ぺん,テーブル,ストーブ,"わたしはいつもラジオをききながらべんきょうします。" : I always listen to the radio while studying., "わたしはいつも（　　　）をききながらべんきょうします。" : I always listen to (　　　) while studying.|"ぺん" : Pen|"ラジオ" : Radio|"テーブル":Table|"ストーブ" : Stove

わたしのすきなのみものは（　　　）です。,こうちゃ,おかし,みかん,ねこ,"わたしのすきなのみものは（こうちゃ）です。":My favorite drink is black tea.,"わたしのすきなのみものは（　　　）です":My favorite drink is (　　　)|"おかし":Sweets|"こうちゃ":black tea|"みかん":mandarin orange|"ねこ":cat

わたしはじてんしゃを（　　　）もっています。,にだい,にさつ,にほん,にまい,"わたしはじてんしゃをにだいもっています。" :I have a bicycle.,

この（　　　）じしょはだれのですか？,ちいさい,みじかい,まるい,ほそい,"このちいさいじしょはだれのですか？" : Who owns this small dictionary?,

ちちはことし80さいですが、（　　　）です,げんき,けっこう,ざんねん,かんたん,"ちちはことし80さいですが、げんきです": My father is 80 years old this year. But he is in good health.,

あめがふっています。みんなかさを（　　　）います。,さして,あけて,あげて,つけて,"あめがふっています。みんなかさをさしています。" : It's raining. Everyone points to their umbrellas.,

がくせいたちはきょうしつでやまだせんせいににほんごを（　　　）います。,ならって,つくって,おぼえて,べんきょうして,"がくせいたちはきょうしつでやまだせんせいににほんごをならっています" :The students are learning Japanese from Yamada Sensei at school.,

やまださんはあかいぼうしを（　　　）います。,かぶって,きて,しめて,はいって,"やまださんはあかいぼうしをかぶっています" : Mr. Yamada is wearing a red hat.,

やまださんはたいていおふろにはいって、（　　　）ねます,すぐに,ちょうど,まだ,だんだん,"やまださんはたいていおふろにはいって、すぐにねます" : Mr. Yamada usually takes a bath and falls asleep right away.,

なのかのつぎは（　　　）です。,ようか,とおか,むいか,よっか,"なのかのつぎはようかです。" :Next up after Nanaka is Yoka.,

わたしはゆうべともだちに（　　　）をかきました。,てがみ,ふうとう,きって,でんわ,"わたしはゆうべともだちにてがみをかきました。" : I wrote a letter to my Yube friend.,

わたしのすきなスポーツは（　　　）です。,スキー,ピアノ,レコード,テーブル,"わたしのすきなスポーツはスキーです。" : My favorite sport is skiing.,

わたしのうちにねこが（　　　）います。,にひき,ふたつ,ふたり,にだい,"わたしのうちにねこがにひきいます。" : A cat is attracted to me.,

このみちは（　　　）です。,せまい,わかい,うすい,おもい,"このみちはせまいです。" : This road is narrow.,

さかながかわを（　　　）います。,およいで,はしって,あるいて,とんで,"さかながかわをおよいでいます。" : Fish are swimming in the river.,

きのうのパーテイーでやまださんに（　　　）あいました。,はじめて,はじめ,はじめの,はじめから,"きのうのパーテイーでやまださんにはじめてあいました。" : I met Mr. Yamada for the first time at a party yesterday.,

たなかさんはきょうはあおいズボンを（　　　）います。,はいて,かぶって,きて,かけて,"たなかさんはきょうはあおいズボンをはいています。" :Tanaka is wearing blue pants today.,

えきででんしゃに（　　　）ます。,のり,とり,すわり,のぼり,"えきででんしゃにのります" : Ride on the electric train,

まちださんはせが（　　　）です。,たかい,とおい,ながい,おもい,"まちださんはせがたかいです。" :Machida-san is very busy.,

わたしはよるねるまえにはを（　　　）。,みがきます,あらいます,つかいます,あびます,"わたしはよるねるまえにはをみがきます 。" : I brush my hair before bed.,

つぎのかどをみぎに（　　　）。,まがります,わたります,のぼります,とまります,"つぎのかどをみぎにまがります。" : Turn right at the next corner.,

わたしのいえはえきのちかくです。とても（　　　）です。,べんり,ひま,じょうず,いろいろ,"わたしのいえはえきのちかくですとてもべんりです。" : My house is near the station.So it's very convenient.,

かぜを（　　　）、かいしゃをやすみました。,ひいて,やって,なって,ふいて,"かぜをひいて、かいしゃをやすみました" : I caught a cold and took time off work.",

まいつきほんを（　　　）よみます。,さんさつ,さんだい,さんぼん,さんまい,"まいつきほんをさんさつよみます" :I will read a book every month,

きのう（　　　）にほんのえいがをみました,はじめて,どきどき,もちろん,はじめに,"きのうはじめてにほんのえいがをみました" : I saw a picture for the first time yesterday.,

きのうかぞくのしゃしんを（　　　）。,とりました,つくりました,かきました,しました,"きのうかぞくのしゃしんをとりました。" : I took the picture of yesterday's home.,

（　　　）をしめてかいしゃへいきます,ネクタイ,セーター,シャツ,ズボン,"ネクタイをしめてかいしゃへいきます" : I put on my tie and go to work.,

たなかさんはべんきょうをして、（　　　）いしゃになりました。,りっぱな,きれいな,まっすぐな,だいじょうぶな,"たなかさんはべんきょうをして、りっぱないしゃになりました。" : Tanaka studied and became a great teacher.,"kanji" : たなかさんは勉強をして、りっぱないしゃになりました。

あのおおきいはしを（　　　）、みぎにまがってください。,わたって,あがって,あそんで,あるいて,"あのおおきいはしをわたって、みぎにまがってください。" : Please cross that big bridge and turn around.,"kanji" :あの大きな橋をわたって、みぎにまがってください。|"speech" : Ano ōkina hashi o watatte migi ni magatte kudasai.

このケーキにはさとうがたくさんはいっています。とても（　　　）です。,あまい,からい,まるい,わかい,"このケーキにはさとうがたくさんはいっています。とてもあまいです。" :This cake has a lot of sugar in it. It's very sweet., "kanji" : このケーキには砂糖がたくさんはいっています。とても甘いです。| "speech" : Kono kēki ni wa satō ga takusan haitte imasu. Totemo amaidesu.

すずきさんのじてんしゃは（　　　）きれいです。,あたらしくて,いそがしくて,わかくて,あつくて,"すずきさんのじてんしゃはあたらしくてきれいです。" : Suzuki's bicycle is new and clean., "kanji" : すずきさんの自転車は新しくて綺麗です。| "speech" :Suzuki-san no jitensha wa atarashikute kireidesu

「そろそろ、（　　　）」といってせんせいのへやをでました。,しつれいします ,しつれいしません,しつれいしています,しつれいしました,"「そろそろ、しつれいします」といってせんせいのへやをでました" : ``Now excuse me'' I said and left the teacher's room.,"kanji" : 「そろそろ、失礼します」といってせんせいのへやをでました | `Sorosoro shitsureishimasu' to itte sensei no heya o demashita

きょうはたくさんしごとをしたから、とても（　　　）。,つかれました,つくりました,つかいました,つとめました,"きょうはたくさんしごとをしたから、とても（つかれました）。" : I worked a lot today.So I'm very (tired)., "kanji" : 今日はたくさん仕事をしたから、とても(疲れました)。| "speech" : Kyō wa takusan shigoto o shitakara totemo (tsukaremashita).

ラジオをけすときは、このボタンを（　　　）ください。,おして,きって,つけて,さして,"ラジオをけすときは、このボタンを（おして）ください。" : To turn off the radio.Press this button., "kanji" : ラジオを消すときは、このボタンを(押して)ください。|"speech" : Rajio o kesu toki wa. kono botan o (oshite) kudasai.

わたしは（　　　）あさ７じにおきます。,たいてい,たいへん,だいぶ,だんだん,"わたしは（たいてい）あさ７じにおきます。" :I (usually) wake up at 7am.,"kanji" : 私は(たいてい)朝7じにおきます。| "speech" : Watashi wa (taitei) asa 7ji ni okimasu.

えいがかんのまえにみせが（　　　）ならんでいます。, たくさん,はじめて,たいへん,おおぜい,"えいがかんのまえにみせが（たくさん）ならんでいます。" : There are (many) shops lined up in front of the movie theater. , "kanji" : 映画館の前に店が(たくさん)ならんでいます。| "speech" : Eigakan no mae ni mise ga (takusan)narande imasu.

くるまでうちからびょういんまで２０ぷん（　　　）。, かかります,かけます,いります,います,"くるまでうちからびょういんまで２０ぷん（かかります）。" : It takes 20 minutes from my house to the hospital., "kanji" : くるまで家から病院まで20分(かかります)。| "speech" : Kuru made ie kara byōin made 20-bu (kakarimasu).

このぎゅうにゅうはれいぞうこにいれてありました。とても（　　　）。, つめたいです, ひくいです,さむいです, すずしいです, "このぎゅうにゅうはれいぞうこにいれてありました。とても（つめたいです ）。" : This gyunyyu was put in the cage. It's very (squeezing). , "kanji" : ""|"speech" : "Kono gyū ni ~yuuhareizoukoniiretearimashita. Totemo (tsumetaidesu)." 

ゆうびんきょくへいって、はがきと（　　　）をかいます。,きって,きっぷ,ざっし,しんぶん, "ゆうびんきょくへいって、はがきと（きって）をかいます。" : "I go to Yubinkyoku and buy postcards and stamps.", "kanji" : "ゆうびんきょくへいって、はがきと(切手)を買います。" |"speech" :"Yū bin kyoku e itte  hagaki to (kitte) o kaimasu."

コーヒーにさとうをいれて（　　　）してください。,あまく,からく,つよく,あつく,"コーヒーにさとうをいれて（あまく）してください。" : "Please add sugar to the coffee to make it sweeter.", "kanji" : "コーヒーに砂糖を入れて(甘く)してください。" |"speech" : "Kōhī ni satō o irete (amaku) shite kudasai."

きょうは（　　　）がわるいから、かさをもっていきます。,てんき,そら,くもり,かぜ,"きょうは（てんき）がわるいから、かさをもっていきます。" : "I'm feeling sick today so I'll bring an umbrella with me.", "kanji" : "" | "speech" : "Kyō wa (tenki) ga waruikara kasa o motte ikimasu."

ひらがなはぜんぶ（　　　）が、かたかなはまだです。,おぼえました,しりました,よびました,ちがいました,"ひらがなはぜんぶ（おぼえました）が、かたかなはまだです。" : "I have memorized all the hiragana. but I have not yet learned the katakana.", "kanji" : "" | "speech" : "Hira ga na wa zenbu (oboemashita) ga-kata kana wa madadesu."

おとうさんのおとこのきょうだいは（　　　）です。,おじさん,おじいさん,おばさん,おばあさん,"おとうさんのおとこのきょうだいは（おじさん）です。" : "My father's brother is (uncle).", "kanji" : "お父さんのおとこのきょうだいは(おじさん)です。" | "speech" : "Otōsan no o toko no kyō dai wa (ojisan)desu."

わたしはいつもよる（　　　）ねます。,はやく,ちかく,ほそく,おもく,"わたしはいつもよる（はやく）ねます。" : "I go to bed earlier than usual.", "kanji" : "私はいつもより(早く)ねます。" | "speech" : "Watashi wa itsumo yori (hayaku) nemasu."

（　　　）、そのニュースをしりました。,しんぶんをよんで,じしょをひいて,きっぷをかって,ちずをみて,"　（しんぶんをよんで）、そのニュースをしりました。" : "I learned the news (by reading the newspaper).", "kanji" : "(新聞を読んで)、そのニュースを知りました。" | "speech" : "(Shinbun o yonde) sono nyūsu o shirimashita."

A：「はじめまして。どうぞよろしく。」| B：「（　　　）。」,こちらこそ,おげんきで,しつれいしました,すみませんでした,"A：「はじめまして。どうぞよろしく。」 | B：「（こちらこそ）。」" : "A: "Nice to meet you. Thank you." | B: “(Thank you).”", "kanji" : "" | "speech" : "A: `Hajimemashite. Dōzo yoroshiku.' B: ` (Kochira koso).'"

わたしは（　　　）がおおきいです。ちょうどいいくつがありません。,あし,め,みみ,からだ,"わたしは（あし）がおおきいです。ちょうどいいくつがありません。" : "I have big legs. I don't have the right pair.", "kanji" : "" | "speech" : "Watashi wa (ashi) ga ōkīdesu. Chōdo i ikutsu ga arimasen."

このくつしたはうすいですが、（　　　）です。,じょうぶ ,かんたん,げんき,じょうず,"このくつしたはうすいですが、（じょうぶ ）です" : "These shoes are thin. but they are fine.", "kanji" : "この靴下は薄いですが、(丈夫 )です。" | "speech" : "Kono kutsushita wa usuidesuga.(jōbu)desu."

いっしゅうかんに（　　　）テニスをします。,さんかい,さんばん,さんがい,さんぼん,"いっしゅうかんに（さんかい）テニスをします。" : "I play tennis.", "kanji" : "" | "speech" : "Isshū kan ni (-san kai) tenisu o shimasu."

あの（　　　）をわたって、だいがくへいきます。,はし,まど,もん,やま,"あの（はし）をわたって、だいがくへいきます。" : "I'm going to cross that (bridge) and go to Daigaku.", "kanji" : "あの(橋)をわたって、だいがくへいきます。" | "speech" : "Ano (hashi) o watatte. dai gaku e ikimasu."

このほんをたむらさんに（　　　）ください。,わたして,みて,かいて,かえって,"このほんをたむらさんに（わたして）ください。" : "Please (give) this book to Tamura-san.", "kanji" : "この本をたむらさんに(渡して)ください。" | "speech" : "Kono-pon ota mura-san ni (watashite) kudasai."

ほんだなにほんを（　　　）。,ならべましょう,ならいましょう,ならしましょう,ならびましょう,"ほんだなにほんを（ならべましょう）。" : "Let's (arrange) what Japan really is.", "kanji" : "ほんだな日本を(並べましょう)。" | "speech" : "Hondana Nihon o (narabemashou)."

あのレストランのりょうりはとても（　　　）ですよ。,おいしい,へた,にぎやか,じょうず,"あのレストランのりょうりはとても（おいしい）ですよ。" : "The food at that restaurant is very (delicious).", "kanji" : "あのレストランの料理はとても(おいしい)ですよ。" | "speech" : "Ano resutoran no ryōri wa totemo (oishī)desu yo."

このみちを（　　　）びょういんへいきます。,あるいて,だして,およいで,とんで,"このみちを（あるいて）びょういんへいきます。" : "I will go to Byoin along this road.", "kanji" : "このみちを(あるいて)びょういんへ行きます。" | "speech" : "Kono michi o (aruite) byō in e ikimasu."

いもうとはきょねん（　　　）。ことし、いっさいになります。,うまれました ,おきました,はじまりました,つきました,"いもうとはきょねん（うまれました ）。ことし、いっさいになります。" : "My younger sister was born. This year it will be all over.", "kanji" : "" | "speech" : "Imou to haki ~yonen (umaremashita). Kotoshi issai ni narimasu."

たくさんありますから、（　　　）たべてください。,もう,よく,もっと,とても,"たくさんありますから、（もう）たべてください。" : "There's a lot of it so please eat it already.", "kanji" : "たくさんありますから、(もう)食べてください。" | "speech" : "Takusan arimasukara(mō) tabete kudasai."

（　　　）はどうぶつです。,いぬ,さくら,てんぷら,ひこうき,"（いぬ）はどうぶつです。" : "(dog) is an animal.", "kanji" : "犬)は動物です。" | "speech" : "Inu) wa dōbutsudesu."

ここはとしょかんです。（　　　）べんきょうしてください。,しずかに ,かんたんに,べんりに,にぎやかに,"ここはとしょかんです。（しずかに ）べんきょうしてください。" : "This is a library. Please study (quietly).", "kanji" : "ここは図書館です。(静かに )勉強してください。" | "speech" : "Koko wa toshokandesu. (Shizukani) benkyō shite kudasai."

さとうさんは（　　　）こないでしょう,たぶん,ちょうど,すこし,だんだん,"さとうさんは（たぶん）こないでしょう" : "Mr. Sato (probably) won't come.", "kanji" : "" | "speech" : "Satō-san wa (tabun) konaideshou"

さむくなったから、（　　　）をつけてください。,テレビ,スリッパ,コート,ストーブ,"さむくなったから、（テレビ）をつけてください。" : "It's getting cold.So please turn on the TV.", "kanji" : "寒くなったから、(テレビ)をつけてください。" | "speech" : "Samuku nattakara.(terebi) o tsukete kudasai."

ふうとうにきってを（　　　）。,はります,とります,かります,うります,"ふうとうにきってを（はります）。" : "Put a stamp on the envelope", "kanji" : "封筒に切手を(貼ります)" | "speech" : "Fūtō ni kitte o (harimasu)"

おふろに（　　　）からだをあらいました。,はいって,とおって,とって,あびて,"おふろに（はいって）からだをあらいました。" : "I went into the bath and washed my body.", "kanji" : "おふろに(はいって)体を洗いました。" | "speech" : "O furo ni (hai tte) karada o araimashita."

（　　　）てでごはんをたべないでください。,あぶない,まずい,わるい,きたない,"（あぶない）てでごはんをたべないでください。" : "Please do not eat rice in a dangerous situation.", "kanji" : "(あぶない)てでご飯を食べないでください。" | "speech" : "(Abunai)tede gohan o tabenaide kudasai."

いそがしくてほんをよむ（　　　）がありません。,つくえ,しごと,ひま,やすみ,"いそがしくてほんをよむ（つくえ）がありません。" : "I'm so busy that I don't have time to read the book.", "kanji" : "忙しくてほんをよむ(つくえ)がありません。" | "speech" : "Isogashikute hon o yomu (tsuku e) ga arimasen."

すみません。あのおさらを（　　　）ください。,まって,すんで,とって,しめて,"すみません。あのおさらを（まって）ください。" : "sorry. Please give me that plate.", "kanji" : "すみません。あのお皿を(待って)ください。" | "speech" : "Sumimasen. Ano o sara o (matte) kudasai."




,,,,,"" : "", "kanji" : "" | "speech" : ""